id,wave1id,response,blockcod,prefectu,prefdist,name,partycod,incumben,smdpr,prrank,won,coalitio,pastkoiz,futureko,elecsys1,elecsys2,appeal,manifest,reasonma,constitu,defense,treaty,attack,un,nkorea,iraq,collecti,smallgov,lifetime,publicen,keynes,consump2,pension,postal,highwayp,highwayf,safety,foreign,donation,subsidy,ideology
1,999,1,1,1,1,éOïiçFçs,1,2,3,2,4,1,2,2,2,3,4,1,0,1,1,1,1,1,2,1,1,3,3,2,3,2,1,3,1,4,3,2,5,3,6
2,1,1,1,1,1,â°òHçFçO,2,1,3,3,1,9,4,4,3,7,2,1,0,5,5,5,5,3,5,5,5,5,2,3,2,2,1,4,9,2,5,1,1,2,3
3,999,1,1,1,1,â°éRîééq,4,2,1,99,4,9,4,4,9,4,1,1,0,5,5,5,5,5,4,5,5,5,2,1,3,5,3,5,9,1,5,1,1,5,11
4,999,0,1,1,2,çLç‚åıë•,10,2,1,99,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,999,1,1,1,2,êŒìcçKéq,10,2,1,99,4,99,4,4,3,2,2,1,0,4,5,5,5,4,4,5,5,2,5,4,3,4,2,2,1,1,5,1,1,3,3
6,305,1,1,1,2,éOà‰ôûóY,2,1,3,1,1,7,4,4,2,2,1,1,0,4,4,5,3,1,4,4,4,2,2,3,3,3,1,4,2,2,4,2,2,2,4
7,999,1,1,1,2,è¨ìcàÍòY,4,2,3,3,4,9,4,4,5,7,1,1,0,5,5,5,5,5,5,5,5,5,2,3,4,5,1,5,5,2,5,1,1,5,1
8,2,1,1,1,2,ãgêÏãMê∑,1,1,3,2,4,1,2,2,2,1,4,1,0,2,2,2,3,1,1,2,3,3,2,2,2,3,3,4,2,3,3,1,3,3,5
9,999,1,1,1,3,êŒçËäx,1,3,3,2,3,1,1,1,2,3,2,1,0,1,3,3,2,1,3,1,3,3,3,1,5,1,3,3,1,3,5,3,5,3,11
10,999,1,1,1,3,êÏïîó≥ìÒ,4,2,1,99,4,9,4,4,5,4,1,1,0,5,5,5,1,5,5,5,5,9,9,1,9,9,9,5,5,1,5,9,1,9,1
11,3,1,1,1,3,çrà‰ëè,2,1,3,3,1,4,4,4,2,2,2,1,0,2,4,3,3,4,3,4,4,3,3,2,3,2,2,3,4,2,4,2,2,2,7
12,4,1,1,1,4,ç≤ì°ê√óY,1,1,3,2,4,1,2,9,3,3,2,2,3,1,3,3,2,2,2,2,2,3,2,3,1,3,3,3,3,4,2,4,4,4,9
13,999,1,1,1,4,î´òCãgóY,2,3,3,1,1,4,4,4,2,3,1,1,0,4,4,5,5,2,5,5,5,2,3,3,3,3,1,4,9,1,5,1,2,1,5
14,999,1,1,1,4,ã’ç‚íıéq,4,2,1,99,4,9,4,4,5,7,1,1,0,5,5,5,5,5,4,5,5,5,1,1,3,5,1,5,4,2,5,1,1,5,1
15,999,1,1,1,5,è¨ó—êÁë„î¸,2,2,3,3,3,6,4,4,2,2,1,1,0,5,5,5,5,9,5,5,5,3,9,4,2,4,2,9,9,2,5,1,9,9,2
16,999,1,1,1,5,ã{ì‡ëè,4,2,3,2,4,9,4,4,5,7,1,1,0,5,5,5,3,5,5,5,5,3,1,1,3,5,1,5,5,3,5,1,1,5,1
17,5,1,1,1,5,í¨ë∫êMçF,1,1,3,2,1,1,1,1,2,6,1,1,0,1,2,1,2,1,3,2,2,1,4,4,4,2,4,2,1,4,2,5,5,4,8
18,999,1,1,1,6,íÜñÏñFêÈ,4,2,1,99,4,9,4,4,5,7,1,1,0,5,5,5,5,5,4,5,5,5,1,1,3,5,5,5,5,3,5,1,1,5,1
19,6,1,1,1,6,ç≤ÅXñÿèGìT,2,1,3,3,3,6,4,4,4,2,4,1,0,5,5,5,5,3,5,5,5,3,3,3,2,3,1,5,2,2,5,1,1,3,3
20,999,1,1,1,6,êºêÏè´êl,10,2,1,99,4,8,3,3,3,2,2,2,9,1,2,1,3,1,1,5,5,2,5,2,2,2,5,1,1,2,5,5,1,5,8
21,999,1,1,1,6,ç°í√ä∞,1,3,3,2,1,1,2,2,5,1,4,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,3,3,3,4
22,13,0,1,1,7,ñkë∫íºêl,1,1,3,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
23,999,1,1,1,7,íáñÏîééq,2,2,3,3,3,99,4,4,4,3,2,1,0,5,4,5,4,2,5,5,5,4,1,2,2,3,1,5,5,2,5,1,1,1,5
24,999,1,1,1,7,î™ñÿñıïF,4,2,1,99,4,9,4,4,5,7,1,1,0,5,5,5,5,5,4,5,5,5,1,1,3,5,1,5,4,3,5,1,1,5,1
25,999,1,1,1,8,ç≤ì°åíé°,1,2,3,2,4,1,1,1,3,6,4,2,3,1,1,1,2,1,1,1,1,3,3,1,4,3,3,4,3,5,3,3,5,5,10
26,999,1,1,1,8,ëOìcàÍíj,10,2,1,99,4,1,1,1,5,6,2,1,0,1,1,1,3,1,5,4,2,4,4,1,3,5,1,1,1,4,3,1,3,3,6
27,304,1,1,1,8,ã‡ìcêΩàÍ,2,1,3,3,1,4,4,4,5,7,1,1,0,5,5,5,5,5,5,5,5,3,3,3,3,3,3,5,5,1,5,1,1,5,4
28,999,1,1,1,8,ïöñÿìcê≠ã`,4,2,1,99,4,9,4,4,5,7,1,1,0,5,5,5,5,5,5,5,5,5,1,3,5,5,1,5,5,2,5,1,1,5,1
29,302,1,1,1,9,ä‚ëqîéï∂,1,1,3,2,4,1,2,2,2,6,1,1,0,1,2,3,2,2,3,2,4,3,3,1,1,3,3,3,3,5,3,2,4,3,8
30,9,1,1,1,9,îµéRóRãIïv,2,1,3,3,1,4,4,3,5,2,4,1,0,1,3,4,5,2,5,5,5,4,3,3,4,2,1,3,5,1,4,1,1,3,7
31,999,1,1,1,9,íJñ{êΩé°,4,2,1,99,4,9,4,4,5,7,1,1,0,5,5,5,5,5,5,5,5,5,1,1,3,5,2,5,4,1,5,1,1,5,1
32,999,1,1,1,10,éRâ∫ãMéj,1,2,3,2,3,1,2,2,3,2,2,2,3,2,2,3,2,2,2,2,3,3,2,2,2,3,2,4,4,4,3,4,3,4,6
33,10,1,1,1,10,è¨ïΩíâê≥,2,1,3,3,1,4,4,3,3,2,4,1,0,4,3,3,4,1,3,5,4,3,3,1,2,3,1,5,5,3,5,3,3,3,5
34,999,1,1,1,10,íJåöïv,4,2,1,99,4,9,4,4,5,7,1,1,0,5,5,5,5,5,4,5,5,5,1,1,3,5,3,4,9,3,5,1,1,5,1
35,11,0,1,1,11,íÜêÏè∫àÍ,1,1,3,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
36,999,1,1,1,11,í∑íJïîè∫ïv,4,2,1,99,4,9,4,4,5,4,1,1,0,5,5,5,5,5,5,5,5,5,1,1,3,5,3,5,3,3,5,1,1,5,1
37,308,1,1,1,11,éRì‡åbéq,5,1,3,1,4,7,3,4,4,4,1,1,0,5,5,5,5,4,4,5,5,4,3,3,4,3,2,4,2,3,5,1,1,2,3
38,999,1,1,1,12,èºñÿå™åˆ,2,2,3,3,3,4,4,4,2,3,1,1,0,2,4,5,4,2,4,5,5,2,3,3,3,3,2,4,9,1,5,2,9,1,5
