"","id","familyna","firstnam","response","sex","age","assassim","blockcod","prefectu","prefdist","partycod","incumben","smdpr","won","evaluati","小泉評価理由","attitude","小泉支持理由","admitype","zohan","望ましい首相","yusei","understa","yuseifut","nenkin","usetax","usecontx","消費税率","yasukuni","tsuitou","ww2","iraq","femaleem","constitu","改正分野","whencons","yearcons","defence","treaty","attack","un","nkorea","collecti","smallgov","lifetime","publecen","keynes","safety","foreign","ideology"
"1",1,"三品","孝行","返送あり","男","39歳",NA,"北海道","北海道",1,"自民党","新","重複あり","落選","評価できる点が多い","従来タブーとされていた分野でも改革のメスを入れた。成果が十分で無い面もあるが、着手したこと自体評価すべき。今後の改革推進も小泉総理にしかできないだろう。","大いに支持する","信念や行動にぶれがなく、不退転の覚悟がうかがえる。","自民・公明連立","政党を維持したまま，自民，公明両党と連立する","小泉純一郎","賛成","理解できない","3事業ともになるべく早く民営すべきだ","将来的には3つとも一元化すべきだ","保険料と税金","どちらかと言えば賛成","10％まで","首相は靖国神社に参拝すべきだ","反対","自衛のためのやむを得ない戦争だった","必要なら来年以降も派遣を継続すべきだ","女性天皇も認めるべきだ","改正すべきだ","平和条項は維持し、その他の9条は改正。","　　年後","3年後","どちらかと言えば賛成","賛成","どちらかと言えば賛成","賛成","どちらかと言えば賛成","どちらとも言えない","どちらかと言えば賛成","どちらとも言えない","どちらかと言えば賛成","どちらかと言えば反対","どちらかと言えば賛成","どちらかと言えば反対",NA
"2",2,"横路","孝弘","返送あり","男","64歳",NA,"北海道","北海道",1,"民主党","前","重複あり","小選挙区で当選","全く評価できない","犯罪、自殺、ホームレス、生活保護、フリーターなどが大幅に増え、社会秩序は混乱し、二極化が進み、格差が拡大し、貧困層が増えた。","支持しない","自分の個人的な思いだけで行動し、日本やアジア、世界のことを全く考えていない。","民主単独",NA,"岡田克也","反対","理解できる","3事業とも国営を堅持すべきだ","3つともできるだけ速やかに民営化すべきだ","全額税金",NA,"財政再建のための消費税の増税は反対。社会保障の財源確保のためであれば賛成。","首相は靖国神社に参拝すべきではない","賛成","誤った国策に基づく侵略戦争だった","できるだけ早期に撤退すべきだ","女性天皇も認めるべきだ","改正すべきでない","",NA,NA,"反対","反対","反対","どちらとも言えない","どちらかと言えば反対","反対","反対","どちらかと言えば賛成","どちらかと言えば反対","どちらかと言えば反対","反対","賛成",NA
"3",3,"横山","博子","返送あり","女","63歳",NA,NA,"北海道",1,"共産党","新","小選挙区のみ","落選","全く評価できない","","支持しない","","その他",NA,"志位和夫","反対","わからない","3事業とも国営を堅持すべきだ","その他","全額税金","反対","","首相は靖国神社に参拝すべきではない","賛成","誤った国策に基づく侵略戦争だった","できるだけ早期に撤退すべきだ","女性天皇も認めるべきだ","改正すべきでない","",NA,NA,"反対","反対","反対","どちらとも言えない","反対","反対","反対","どちらかと言えば賛成","どちらかと言えば賛成","どちらかと言えば反対","反対","賛成","最も革新"
"4",4,"秋元","正博","返送あり","男","49歳",NA,NA,"北海道",1,"諸派","新","小選挙区のみ","落選","どちらかと言えば評価できない","","支持できないところが多い","","その他",NA,"鈴木宗男","反対","理解できる","郵政公社の経営状況を見極めたうえで判断すべきだ","3つともできるだけ速やかに民営化すべきだ","保険料と税金","どちらかと言えば賛成","","基本的には首相は靖国神社に参拝すべきだが，外交関係などに配慮して，柔軟に対応することも必要だ","賛成","どちらとも言えない","できるだけ早期に撤退すべきだ","わからない","改正すべきだ","個人情報やプライバシーの保護","　　年後","3年後","反対","反対","反対","反対","反対","反対","どちらかと言えば反対","賛成","賛成","賛成","どちらかと言えば賛成","どちらかと言えば賛成",NA
"5",5,"吉川","貴盛","返送あり","男","54歳",NA,"北海道","北海道",2,"自民党","元","重複あり","比例区で復活当選","評価できる点が多い","各種改革が進み、心配されていた景気回復も本道、沖縄以外は上向き全体としてもう一息","どちらかと言えば支持する","郵政改革、靖国問題にしても説明不足というところがある。基本的な改革への意欲は大いに支持できる。","自民・公明連立","自民党に再合流する","小泉純一郎","賛成","わからない","その他","将来的には3つとも一元化すべきだ","保険料と税金","どちらかと言えば賛成","","基本的には首相は靖国神社に参拝すべきだが，外交関係などに配慮して，柔軟に対応することも必要だ","わからない","誤った国策に基づく侵略戦争だった","今年末の派遣期限が来たら撤退すべきだ","女性天皇も認めるべきだ","どちらかと言えば改正すべきだ","9条の理念を守りつつ国際貢献体制を明確とする",NA,NA,"どちらかと言えば賛成","どちらかと言えば賛成","どちらとも言えない","賛成","どちらかと言えば賛成","どちらかと言えば賛成","どちらとも言えない","どちらかと言えば賛成","どちらかと言えば賛成","どちらとも言えない","どちらかと言えば賛成","どちらかと言えば賛成","最も革新"
"6",6,"三井","辨雄","返送あり","男","62歳",NA,"北海道","北海道",2,"民主党","前","重複あり","小選挙区で当選","全く評価できない","小泉内閣が掲げた「改革」は国民のためにムダを省くかのような幻想を振りまきながら実体は道路公団や郵政民営化に示された利権の分捕り合戦。国民には自己責任自助努力ばかり押し付け、日本の社会に二極分化を招いた","支持しない","郵政民営化に賛成しなければ問答無用で切捨てる強権政治の権化だ。","民主単独","民主党を含むあらゆる政党との連立を検討する","岡田克也",NA,"理解できる","郵政公社の経営状況を見極めたうえで判断すべきだ","3つともできるだけ速やかに民営化すべきだ","全額税金","賛成","現在は年金目的税3％程度を想定している、しかし社会保障・財政再建を含めた税率については、より本格的な議論が必要であり、民主党はそう主張している","首相は靖国神社に参拝すべきではない","賛成","誤った国策に基づく侵略戦争だった","今年末の派遣期限が来たら撤退すべきだ","女性天皇も認めるべきだ","どちらかと言えば改正すべきでない","地方分権、環境権",NA,NA,"どちらかと言えば反対","反対","どちらとも言えない","どちらとも言えない","どちらかと言えば賛成","どちらかと言えば反対","どちらかと言えば反対","どちらとも言えない","どちらとも言えない","どちらかと言えば賛成","どちらかと言えば反対","どちらかと言えば賛成",NA
"7",7,"金倉","昌俊","返送あり","男","30歳",NA,NA,"北海道",2,"共産党","新","小選挙区のみ","落選","全く評価できない","構造改革のもと弱者切捨て、大量倒産・失業者を生み出した。靖国参拝などアジアの信頼を失墜させた。","支持しない","郵政民営化は国民にとって百害あって一利なしが明らか。強引なやり方で国民にいたみをおしつけた。小泉自民党政治のゆきづまり。","その他",NA,"志位和夫","反対","理解できる","3事業とも国営を堅持すべきだ","その他","全額税金","反対","","首相は靖国神社に参拝すべきではない","賛成","誤った国策に基づく侵略戦争だった","できるだけ早期に撤退すべきだ","女性天皇も認めるべきだ","改正すべきでない","","改正は行われない",NA,"反対","反対","反対","どちらかと言えば賛成","反対","反対","反対","どちらかと言えば賛成","どちらかと言えば賛成","どちらかと言えば賛成","反対","賛成","最も革新"
"8",8,"石崎","岳","返送あり","男","50歳",NA,"北海道","北海道",3,"自民党","前","重複あり","小選挙区で当選","評価できる点が多い","道路関係４公団民営化、構造改革特区や規制緩和の推進、予算の重点投資など、小泉構造改革によって民間主導の経済成長が実現、GDP、失業率ともに改善した。","大いに支持する","国民に信を問うことで改革勢力を結集・〓化し、さらなる構造改革を推進しようとしていること。","自民・公明連立",NA,"小泉純一郎","賛成","理解できない","3事業ともになるべく早く民営すべきだ","その他","保険料と税金","どちらかと言えば反対","",NA,"反対","どちらとも言えない","必要なら来年以降も派遣を継続すべきだ",NA,"改正すべきだ","安全保障","　　年後","3年後","どちらかと言えば賛成","どちらとも言えない","どちらかと言えば賛成","賛成","どちらとも言えない","どちらかと言えば賛成","どちらとも言えない","どちらかと言えば反対","どちらかと言えば反対","どちらかと言えば反対","どちらとも言えない","反対",NA
"9",9,"荒井","聰","返送あり","男","59歳",NA,"北海道","北海道",3,"民主党","前","重複あり","比例区で復活当選","全く評価できない","","支持しない","","民主単独","民主党を含むあらゆる政党との連立を検討する","岡田克也","反対","理解できる","郵政公社の経営状況を見極めたうえで判断すべきだ","3つともできるだけ速やかに民営化すべきだ","全額税金","賛成","数％の引き上げを要すと思われるが、今後の検討が必要","首相は靖国神社に参拝すべきではない","わからない","誤った国策に基づく侵略戦争だった","できるだけ早期に撤退すべきだ","女性天皇も認めるべきだ","どちらとも言えない","9条は改正すべきでない。他の条文は検討を要すものもある。","改正は行われない",NA,"反対","反対","どちらかと言えば反対","どちらとも言えない","どちらかと言えば賛成","反対","どちらとも言えない","どちらかと言えば賛成","どちらかと言えば賛成","どちらとも言えない","反対","賛成",NA
"10",10,"川部","竜二","返送あり","男","33歳",NA,NA,"北海道",3,"共産党","新","小選挙区のみ","落選","全く評価できない","国民に「痛み」のみ強いる政治のあり方は評価できない。","支持しない","日本を戦争する国にする。大増税計画、社会保障給付切り下げ、雇用不安の増大など、展望が持てる政策がない。","その他",NA,"志位和夫","反対","理解できる","3事業とも国営を堅持すべきだ","その他","保険料と税金","反対","","首相は靖国神社に参拝すべきではない","賛成","誤った国策に基づく侵略戦争だった","できるだけ早期に撤退すべきだ","女性天皇も認めるべきだ","改正すべきでない","",NA,NA,"反対","反対","反対","反対","どちらかと言えば反対","反対","反対","どちらかと言えば賛成","賛成","どちらかと言えば反対","どちらかと言えば賛成","賛成","最も革新"
