ID,oldID,NAME,RESPONSE,PREFEC,DISTRICT,PRBLOCK,INCUMB,TERM,PARTY,SEX,AGE,RESULT,Q1,Q2_1,Q2_2,Q2_3,Q3_1,Q3_2,Q3_3,Q4_1,Q4_2,Q4_3,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q9_16,Q9_17,Q9_18,Q9_19,Q9_20,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q12
1,1,í∑íJêÏÅÅäx      ,1,1,1,51,1,0,1,1,37,4,3,6,11,3,15,11,6,5,3,2,4,3,1,3,3,3,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3,1,3,2,2,2,1,5,1,3,3,1,4,3,2,3,3,2,1,2,2,3,3,3,1,3,3,2,3,2,2,2,4,4,50,50,50,50,50,50,25,25,0,25,25,50,50,50,4
2,2,â°òHÅÅçFçO      ,1,1,1,51,3,9,2,1,67,1,4,15,9,3,15,9,14,3,4,5,NA,4,NA,NA,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,4,1,2,5,5,5,5,1,5,2,3,5,4,5,2,4,2,3,2,1,1,4,5,5,2,1,2,4,3,1,3,4,4,3,4,25,50,25,25,50,50,80,80,80,80,50,50,20,10,3
3,3,èºà‰ÅÅèGñæ      ,1,1,1,NA,1,0,4,1,40,4,4,9,8,14,9,8,14,1,2,5,3,3,3,4,3,3,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,NA,NA,1,5,NA,5,5,1,5,2,5,5,5,5,1,1,3,2,5,5,1,2,5,5,1,3,3,5,4,3,5,3,4,1,3,0,0,0,0,0,0,25,25,25,25,25,0,0,0,2
4,798,çÇå≥ÅÅòaé}      ,1,1,1,NA,1,0,11,2,59,4,3,3,14,15,3,14,15,1,3,4,2,3,3,3,3,3,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,3,3,1,1,1,1,4,1,1,1,1,2,2,4,3,1,2,5,3,5,1,3,3,5,4,1,1,2,2,1,1,1,5,5,0,0,0,15,0,0,0,0,0,0,15,50,50,20,1
5,4,ãgêÏÅÅãMê∑      ,1,1,2,51,3,3,1,1,58,4,NA,3,8,13,3,8,13,5,3,1,4,3,2,3,3,2,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,3,4,1,3,2,2,2,1,3,1,2,4,3,3,2,2,2,2,3,4,3,3,3,4,4,3,3,3,2,3,2,2,1,2,3,50,80,100,50,80,80,0,0,0,0,50,50,60,70,4
6,5,éOà‰ÅÅôûóY      ,1,1,2,51,3,3,2,1,66,1,4,8,7,3,8,7,3,3,1,5,3,4,3,NA,NA,2,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,1,1,4,3,2,5,1,4,3,2,4,3,4,3,3,2,5,3,1,2,3,4,3,3,1,1,4,2,3,5,3,4,3,4,NA,NA,NA,NA,NA,NA,100,100,100,100,100,NA,NA,NA,2
7,6,â™ÅÅêÁóz        ,1,1,2,51,1,0,4,2,45,4,3,3,14,9,8,5,14,2,3,5,3,3,3,4,3,3,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,3,2,1,5,3,5,5,1,5,2,5,5,5,5,1,1,3,5,5,5,1,2,5,5,1,3,3,5,4,3,5,4,4,1,3,0,0,0,0,0,10,50,50,50,50,50,50,50,50,3
8,7,ñ{ìcÅÅóRî¸      ,1,1,2,51,1,0,5,2,30,4,4,9,11,4,9,11,14,5,4,2,3,2,3,2,4,2,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,2,1,2,3,3,4,5,1,5,4,5,5,5,5,3,2,2,4,5,1,2,2,5,5,1,2,2,5,5,3,5,5,4,1,3,0,0,0,0,0,0,0,0,0,51,0,0,0,0,2
9,799,éRñ{ÅÅéuî¸      ,1,1,2,NA,1,0,11,2,42,4,4,1,3,12,1,3,12,1,3,4,2,3,3,3,3,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,5,1,1,1,1,2,1,1,1,1,3,3,5,4,4,3,5,5,3,1,3,3,3,5,2,1,3,3,3,4,1,5,5,10,0,0,50,5,10,0,0,0,0,0,10,50,20,1
10,8,êŒçËÅÅäx        ,1,1,3,51,3,3,1,1,53,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,3,3,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,NA,1,3,1,3,1,2,2,2,5,3,3,NA,NA,NA,5,3,3,3,3,3,3,3,1,3,3,3,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,9,çrà‰ÅÅ„‡        ,1,1,3,51,2,4,2,1,62,1,4,7,1,9,5,1,7,3,4,5,3,4,3,2,2,2,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,4,1,1,3,5,2,4,1,4,3,3,5,3,5,2,2,3,4,4,1,1,3,4,4,2,3,2,4,3,2,5,2,2,2,3,0,25,50,0,0,25,100,100,100,100,80,50,50,25,5
12,800,êXéRÅÅâ¿ë•      ,1,1,3,NA,1,0,11,1,42,4,4,1,3,14,1,3,14,4,3,2,2,3,3,3,3,3,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,3,1,1,1,1,4,1,1,1,1,2,2,4,3,1,2,5,3,5,1,3,3,5,4,1,1,2,2,1,1,1,5,5,25,0,0,25,10,25,0,0,0,0,25,50,50,50,NA
13,10,ã{ñ{ÅÅóZ        ,1,1,4,51,1,0,1,1,43,4,2,3,8,6,12,11,4,3,5,2,4,2,1,3,3,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,2,1,2,3,3,2,1,2,1,3,4,3,3,1,3,3,2,5,3,4,4,2,3,2,2,4,4,4,4,2,4,4,70,75,40,60,55,80,30,50,25,25,55,40,50,45,4
14,11,î´òCÅÅãgóY      ,1,1,4,51,3,6,2,1,60,1,3,9,7,5,5,1,6,3,4,2,3,4,2,2,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,1,1,5,5,5,5,1,5,2,5,3,3,4,2,2,2,3,3,1,1,4,5,4,3,2,1,4,3,2,5,5,3,2,2,25,25,25,25,25,25,100,100,100,100,75,50,50,50,3
15,801,íﬂå©ÅÅèrë†      ,1,1,4,NA,1,0,11,1,55,4,4,1,3,14,1,3,14,1,2,3,3,3,3,3,3,3,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,5,1,1,1,1,5,1,1,1,1,1,2,5,4,4,2,5,5,1,1,3,5,3,3,1,1,3,5,1,5,1,5,5,10,10,10,10,10,30,10,10,10,10,20,50,50,50,1
16,12,í¨ë∫ÅÅêMçF      ,1,1,5,51,3,8,1,1,64,3,2,3,8,6,3,6,1,5,3,1,4,2,1,3,3,2,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,2,1,1,2,1,1,4,3,2,1,3,1,4,5,5,2,3,5,2,3,1,1,3,2,4,1,2,5,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
17,13,è¨ó—ÅÅêÁë„î¸    ,1,1,5,51,2,1,2,2,40,1,4,3,9,8,3,8,11,1,3,5,3,4,3,2,2,2,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,4,1,1,5,4,5,5,1,5,2,5,5,5,5,1,3,2,3,5,1,1,3,5,5,1,1,1,5,4,3,5,5,4,2,4,0,0,0,0,0,0,90,90,90,90,90,50,50,0,3
18,802,î®ñÏÅÅë◊ãI      ,1,1,5,NA,1,0,11,1,42,4,3,3,14,15,NA,NA,NA,4,3,5,3,3,3,3,3,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3,4,2,1,1,1,3,1,2,1,1,2,1,3,3,2,3,5,5,2,1,3,4,2,2,2,1,2,3,2,4,1,5,4,25,25,25,25,40,40,0,0,0,0,0,40,50,50,1
19,14,ç°í√ÅÅä∞        ,1,1,6,51,3,4,1,1,62,4,2,3,5,8,15,5,15,1,2,5,4,2,1,3,3,2,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,3,2,2,2,1,1,1,2,2,2,1,1,3,3,1,1,1,3,4,5,3,3,3,3,2,3,1,2,2,3,3,1,2,3,90,80,70,50,75,80,10,0,0,0,10,50,50,50,3
20,15,ç≤ÅXñÿÅÅó≤îé    ,1,1,6,51,3,1,2,1,59,1,4,7,8,5,5,8,13,3,NA,NA,3,4,3,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,5,1,1,3,5,5,3,1,5,2,2,5,5,5,3,3,2,3,5,1,2,3,5,3,1,2,1,5,1,2,5,4,2,2,3,20,30,40,30,25,25,90,90,90,90,75,60,60,25,4
21,16,â¨ê∂ÅÅòaïq      ,1,1,6,51,1,0,4,1,59,4,3,3,9,8,3,9,14,3,2,1,3,3,3,4,3,3,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,5,3,5,5,1,5,4,5,5,5,5,3,2,3,4,5,5,1,4,5,5,2,3,1,5,5,3,5,4,4,2,3,10,10,10,10,10,10,50,50,25,50,30,10,10,10,2
22,803,ïêìcÅÅêTàÍ      ,1,1,6,NA,1,0,11,1,42,4,4,15,3,12,15,3,10,4,1,3,3,3,3,3,3,3,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,2,5,1,1,1,1,5,1,1,1,1,1,1,4,3,1,5,5,5,2,1,1,5,5,5,1,2,1,5,2,2,1,5,5,10,0,30,50,60,50,10,20,0,0,60,60,60,40,1
23,17,à…ìåÅÅó«çF      ,1,1,7,51,1,0,1,1,60,1,2,5,8,3,12,5,8,1,5,2,4,2,1,3,3,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,2,3,2,2,2,2,3,1,2,2,3,4,2,2,2,2,3,3,4,2,3,3,5,2,3,2,1,2,3,3,3,2,4,60,65,65,50,75,80,40,35,30,30,45,60,60,60,2
24,18,íáñÏÅÅîééq      ,1,1,7,51,3,2,2,2,49,3,4,NA,NA,NA,5,7,15,3,2,1,3,4,3,3,2,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,1,1,5,5,5,5,1,5,2,5,5,5,5,1,1,1,1,5,1,1,4,5,4,4,3,2,3,4,3,5,5,5,1,5,0,0,0,0,0,0,100,100,100,100,100,50,50,50,2
25,804,ã‡ê¨ÅÅçKéq      ,1,1,7,NA,1,0,11,2,50,4,4,1,3,14,NA,NA,NA,1,NA,NA,2,3,3,3,3,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,1,1,3,1,1,1,1,2,1,3,2,1,2,5,5,3,1,3,3,3,4,2,3,3,3,3,2,2,4,4,25,0,25,25,25,25,0,0,0,0,0,50,50,25,1
26,19,ïüìáÅÅå[éjòY    ,1,1,8,51,1,0,1,1,62,4,2,9,7,8,4,5,1,5,3,1,4,3,1,3,3,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,1,1,1,1,1,3,1,1,1,1,1,5,3,2,3,2,5,3,5,2,3,3,5,3,1,1,1,3,5,3,1,2,4,50,60,60,70,50,50,0,0,0,0,0,0,0,0,2
27,20,àßç‚ÅÅêΩìÒ      ,1,1,8,51,3,1,2,1,49,1,3,15,13,12,15,13,12,3,4,1,3,4,3,3,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,1,2,2,3,3,3,1,3,1,3,3,3,4,3,3,3,2,4,2,2,2,2,3,2,2,3,3,3,4,3,5,2,2,4,50,50,50,50,50,50,100,100,100,100,100,80,80,60,4
28,805,êºñÏÅÅçW        ,1,1,8,NA,1,0,11,1,32,4,3,3,14,9,3,14,9,4,1,3,2,2,2,2,2,2,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,3,4,2,1,1,1,4,1,2,2,1,2,2,4,2,4,3,5,4,2,1,5,4,4,4,2,2,3,3,2,3,2,4,4,40,50,50,50,50,40,40,50,40,50,50,50,50,50,1
29,21,ç≤ì°ÅÅåíé°      ,1,1,8,NA,1,0,12,1,51,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,5,NA,NA,1,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,22,êÏî®ÅÅåÂ        ,1,1,9,51,1,0,1,1,37,4,2,4,5,6,6,4,9,1,5,3,4,2,1,3,3,2,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,3,2,2,2,3,2,2,1,1,2,2,3,4,2,1,2,3,4,4,3,3,4,4,2,2,2,1,2,1,2,1,1,5,70,75,60,65,65,80,45,55,50,40,65,70,80,75,5
31,23,îµéRÅÅóRãIïv    ,1,1,9,NA,3,7,2,1,61,1,4,3,12,13,13,12,14,1,3,4,3,4,3,3,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5,1,1,3,3,1,3,1,5,1,5,4,3,5,2,3,3,5,5,3,2,3,4,3,3,2,1,5,3,2,5,3,2,3,2,25,25,50,25,25,25,NA,100,100,100,100,75,75,25,2
32,24,ç≤ì°ÅÅè∫éq      ,1,1,9,51,1,0,4,2,65,4,4,9,8,14,9,8,14,1,2,5,3,3,3,4,3,3,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,3,2,1,5,3,5,5,1,5,2,5,5,5,5,1,1,3,2,5,5,1,2,5,5,1,3,3,5,4,3,5,3,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
33,806,ó¢ë∫ÅÅâpàÍ      ,1,1,9,NA,1,0,11,1,49,4,4,15,3,4,15,3,1,1,3,4,2,3,3,3,3,3,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,3,3,1,1,1,1,4,1,2,1,1,2,3,3,3,4,3,5,5,5,1,5,3,4,5,1,1,4,3,2,3,1,5,4,25,5,5,50,20,20,0,0,0,0,60,50,50,50,1
34,25,î—ìáÅÅó[äÂ      ,1,1,10,51,3,1,1,2,44,4,2,3,5,15,5,15,6,NA,NA,NA,4,2,1,3,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,2,NA,NA,1,2,3,2,1,1,1,1,5,3,2,1,2,3,3,5,4,2,3,5,4,2,2,2,2,2,3,2,2,3,80,70,50,60,60,70,0,0,0,0,25,40,50,50,NA
35,26,è¨ïΩÅÅíâê≥      ,1,1,10,51,3,6,2,1,66,1,4,NA,5,NA,5,15,8,1,3,NA,3,4,3,3,2,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,2,3,3,3,3,1,3,1,2,3,2,4,2,2,2,4,4,1,3,3,4,3,3,3,4,3,3,2,4,4,2,2,3,0,50,60,25,50,50,100,80,70,70,80,50,50,50,2
36,807,ëÂó—ÅÅêΩ        ,1,1,10,NA,1,0,11,1,36,4,4,14,3,15,NA,NA,NA,4,3,1,2,3,3,3,3,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,4,1,1,1,1,1,1,5,2,1,1,2,4,3,4,2,5,5,5,1,3,3,3,3,4,1,3,3,5,5,1,5,2,25,0,0,50,50,25,0,0,0,0,25,50,75,25,1
37,27,íÜêÏÅÅè∫àÍ      ,1,1,11,51,3,8,1,1,55,4,2,3,2,5,3,2,5,2,5,3,4,NA,NA,NA,NA,NA,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,3,2,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,3,5,4,2,2,5,2,3,1,2,2,2,1,2,2,5,95,80,40,20,30,55,0,0,5,0,10,40,50,50,4
38,28,êŒêÏÅÅímóT      ,1,1,11,51,3,1,2,1,35,1,3,7,5,3,5,11,13,1,3,4,3,4,3,3,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,5,1,2,5,5,5,3,1,5,3,5,5,2,5,2,2,3,5,5,1,2,3,5,5,3,2,4,4,3,3,5,3,5,3,4,50,50,50,50,50,50,100,100,100,100,100,75,75,50,4
39,29,ìnï”ÅÅéá        ,1,1,11,51,1,0,4,2,60,4,4,9,8,14,9,8,14,1,2,5,3,3,3,4,3,3,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,3,2,1,5,3,5,5,1,5,2,5,5,5,5,1,1,3,2,5,5,1,2,5,5,1,3,3,5,4,3,5,3,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
