uid,ELECYEAR,ID,NAME,RESPONSE,PREFEC,DISTRICT,PRBLOCK,INCUMB,TERM,PARTY,SEX,AGE,RESULT,prim1,prim2,prim3,camp1,camp2,camp3,coal_lib,coal_dem,coal_kmei,coal_com,coal_soc,coal_koku,yn_medconst,yn_reps,yn_const,yn_defense,yn_preemp,yn_unsc,yn_nkorea,yn_smgov,yn_pubspend,yn_fiscalpol,yn_tax5yrs,yn_frgnvote,yn_frgnwork,yn_privacy,yn_tax10pc,yn_moral,ab_asiaus,ab_compet,ab_env,ab_singlemum,ab_trade,fav_masuzoe,fav_ozawa,fav_watanabe,fav_hashimoto,media_hp,media_sns,media_tv
2393.1.0,2009,1,長谷川＝岳,1,1.0,1.0,51.0,1,0,1,1,37.0,4,,,,5.0,3.0,2.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,1.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,,,,,1.0,2.0,4.0,50.0,0.0,50.0,50.0,,,
1466.1.0,2009,2,横路＝孝弘,1,1.0,1.0,51.0,3,9,2,1,67.0,1,,,,3.0,4.0,5.0,,4.0,,,1.0,1.0,4.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,4.0,2.0,2.0,1.0,4.0,5.0,,,,,1.0,4.0,3.0,50.0,80.0,50.0,20.0,,,
1282.1.0,2009,3,松井＝秀明,1,1.0,1.0,,1,0,4,1,40.0,4,,,,1.0,2.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,,5.0,5.0,5.0,5.0,2.0,5.0,5.0,1.0,3.0,5.0,1.0,2.0,5.0,,,,,3.0,3.0,1.0,0.0,25.0,0.0,0.0,,,
2463.1.0,2009,4,高元＝和枝,1,1.0,1.0,,1,0,11,2,59.0,4,,,,1.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,5.0,5.0,1.0,3.0,,,,,4.0,1.0,5.0,0.0,0.0,50.0,50.0,,,
479.1.0,2009,5,吉川＝貴盛,1,1.0,2.0,51.0,3,3,1,1,58.0,4,,,,5.0,3.0,1.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,,,,,3.0,2.0,2.0,80.0,0.0,50.0,60.0,,,
16.1.0,2009,6,三井＝辨雄,1,1.0,2.0,51.0,3,3,2,1,66.0,1,,,,3.0,1.0,5.0,3.0,4.0,3.0,,,2.0,3.0,4.0,2.0,5.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,,,,,1.0,3.0,3.0,,100.0,,,,,
996.1.0,2009,7,岡＝千陽,1,1.0,2.0,51.0,1,0,4,2,45.0,4,,,,2.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,1.0,3.0,5.0,1.0,2.0,5.0,,,,,3.0,4.0,1.0,10.0,50.0,50.0,50.0,,,
1231.1.0,2009,8,本田＝由美,1,1.0,2.0,51.0,1,0,5,2,30.0,4,,,,5.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,2.0,2.0,5.0,2.0,2.0,5.0,,,,,2.0,5.0,1.0,0.0,0.0,0.0,0.0,,,
934.1.0,2009,9,山本＝志美,1,1.0,2.0,,1,0,11,2,42.0,4,,,,1.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,5.0,3.0,1.0,3.0,,,,,5.0,4.0,5.0,10.0,0.0,10.0,50.0,,,
1865.1.0,2009,10,石崎＝岳,1,1.0,3.0,51.0,3,3,1,1,53.0,4,,,,,,,4.0,3.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,3.0,3.0,1.0,2.0,5.0,3.0,,,3.0,3.0,3.0,,,,,3.0,3.0,3.0,,,,,,,
2060.1.0,2009,11,荒井＝聰,1,1.0,3.0,51.0,2,4,2,1,62.0,1,,,,3.0,4.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,1.0,3.0,4.0,,,,,3.0,2.0,2.0,25.0,100.0,50.0,50.0,,,
1404.1.0,2009,12,森山＝佳則,1,1.0,3.0,,1,0,11,1,42.0,4,,,,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,5.0,5.0,1.0,3.0,,,,,4.0,1.0,5.0,25.0,0.0,50.0,50.0,,,
751.1.0,2009,13,宮本＝融,1,1.0,4.0,51.0,1,0,1,1,43.0,4,,,,3.0,5.0,2.0,4.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,3.0,1.0,3.0,5.0,3.0,4.0,,,,,3.0,4.0,4.0,80.0,25.0,40.0,50.0,,,
2375.1.0,2009,14,鉢呂＝吉雄,1,1.0,4.0,51.0,3,6,2,1,60.0,1,,,,3.0,4.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,2.0,2.0,3.0,1.0,4.0,5.0,,,,,2.0,5.0,2.0,25.0,100.0,50.0,50.0,,,
2520.1.0,2009,15,鶴見＝俊蔵,1,1.0,4.0,,1,0,11,1,55.0,4,,,,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,5.0,1.0,1.0,3.0,,,,,3.0,5.0,5.0,30.0,10.0,50.0,50.0,,,
1792.1.0,2009,16,町村＝信孝,1,1.0,5.0,51.0,3,8,1,1,64.0,3,,,,5.0,3.0,1.0,4.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,5.0,5.0,2.0,,,,,2.0,4.0,2.0,,,,,,,
818.1.0,2009,17,小林＝千代美,1,1.0,5.0,51.0,2,1,2,2,40.0,1,,,,1.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,2.0,5.0,1.0,3.0,5.0,,,,,1.0,5.0,2.0,0.0,90.0,50.0,50.0,,,
